MY20,289588.285496,6655796.7908
MY21,289520.469601,6655813.24469
MY15,289442.060362,6655732.13426
MY14,289438.716952,6655733.58869
MY17,289541.638113,6655791.73634
MY16,289563.269142,6655792.61513
MY11,289308.692652,6655645.00764
MY10,289407.713765,6655721.70116
MY13,289265.063698,6655541.60283
MY12,289290.982666,6655609.09608
LA4,286279.133937,6651833.58927
LA5,286205.111096,6651987.51754
LA6,286236.1656,6651940.40049
LA7,286224.046817,6651943.12375
MY19,289654.036787,6655842.55317
LA1,286214.295127,6651878.71354
LA2,286240.895421,6651906.99893
LA3,286240.070453,6651900.77836
LA21,286559.301637,6652028.38047
LA20,286414.828111,6652103.0782
MY18,289589.367878,6655801.95791
MY9,289806.953313,6655826.05558
MY8,289372.339442,6655827.56317
MY1,289485.611966,6655752.15486
MY3,289519.05946,6655773.52973
MY2,289430.573338,6655762.61485
MY5,289620.657627,6655813.31599
MY4,289527.699531,6655776.33774
MY7,289431.375083,6655792.88782
MY6,289502.439768,6655758.63143
LA18,286342.867502,6652022.20221
LA19,286342.877858,6652024.88597
LA16,286240.299002,6652066.45236
LA17,286322.864117,6652039.9006
LA14,286157.473383,6651895.73061
LA15,286280.975281,6651840.74215
LA12,286344.624536,6652062.27325
LA13,286412.572496,6652118.67308
LA10,286360.381066,6651907.96767
LA11,286330.451618,6652064.20655
LA8,286273.166768,6651833.46712
LA9,286366.241122,6651900.89248
